customer_id,age,sex,employment_type,employment_years,monthly_income,cibil_score,past_loans,on_time_payments,late_payments,defaults,existing_loans,existing_emi,credit_utilization,dti_ratio,bank_balance,savings_balance,new_loan_amount,loan_duration_months,loan_purpose,identity_verified,address_verified,employment_verified,background_verified,collateral_available,credit_risk
CUST100036,36,male,salaried,7.2,110500,734,3,54,3,0,3,19300.0,0.373,0.254,343500.0,158900.0,526100,60,consumer,1,1,1,1,0,1
CUST100037,28,male,contract,5.8,66300,718,2,34,2,0,2,14600.0,0.49,0.253,261300.0,97600.0,131400,60,education,1,1,1,1,0,0
CUST100038,33,female,self_employed,14.2,59000,720,4,94,2,0,1,14700.0,0.505,0.375,103100.0,65000.0,178700,24,home_improvement,1,1,1,1,1,1
CUST100039,27,male,salaried,2.6,21800,671,1,13,0,0,0,10700.0,0.43,0.968,79800.0,60300.0,124800,12,consumer,1,1,1,1,1,0
CUST100040,31,male,self_employed,5.7,99400,750,2,24,2,0,0,20300.0,0.169,0.236,145500.0,126900.0,113900,36,personal,1,1,1,1,0,1
CUST100041,59,male,business,11.2,63400,749,2,33,1,0,0,17900.0,0.101,0.393,398300.0,318500.0,338000,48,personal,1,1,1,1,0,1
CUST100042,44,male,salaried,7.3,51500,642,5,64,6,0,0,4900.0,0.047,0.2,279000.0,227800.0,130000,24,education,1,1,1,1,0,0
CUST100043,25,female,salaried,13.5,54600,607,0,0,0,0,0,9700.0,0.338,0.291,260500.0,175200.0,111500,18,home,1,1,1,1,1,0
CUST100044,40,male,contract,6.8,32200,665,2,46,2,0,2,13100.0,0.353,0.536,38700.0,11700.0,199800,48,personal,1,1,1,1,0,0
CUST100045,33,male,salaried,1.0,55700,593,1,12,1,0,1,18700.0,0.316,0.348,371000.0,163500.0,48600,72,consumer,1,1,1,1,1,0
CUST100046,50,male,salaried,8.5,94800,737,0,0,0,0,0,29000.0,0.26,0.368,94100.0,61200.0,212500,36,vehicle,1,1,1,1,0,1
CUST100047,58,female,salaried,4.9,108800,631,2,21,3,0,0,5500.0,0.177,0.176,521700.0,130600.0,327600,24,medical,1,1,1,1,1,0
CUST100048,21,female,self_employed,8.3,43200,671,2,30,2,0,0,5900.0,0.101,0.548,164700.0,36300.0,320000,18,personal,1,0,1,1,0,0
CUST100049,41,male,salaried,5.9,84500,740,4,61,3,0,3,31900.0,0.431,0.43,288500.0,203500.0,213500,48,home_improvement,1,0,1,1,0,1
CUST100050,41,female,business,3.1,101600,652,3,51,3,0,1,31700.0,0.722,0.494,534300.0,160900.0,442800,24,education,1,1,1,1,1,0
CUST100051,65,male,self_employed,19.6,99500,749,5,105,0,0,1,20500.0,0.627,0.248,562200.0,165000.0,151600,36,vehicle,1,1,1,1,1,1
CUST100052,37,male,salaried,12.9,61900,700,2,28,2,0,1,23500.0,0.386,0.451,208500.0,86800.0,266500,60,business,1,1,1,1,1,1
CUST100053,28,male,salaried,19.6,161300,704,3,31,2,0,2,25800.0,0.35,0.204,275100.0,189800.0,253500,36,medical,1,1,1,1,1,1
CUST100054,29,female,salaried,2.1,120500,655,2,20,2,1,3,25200.0,0.287,0.324,135800.0,64900.0,331500,24,home,1,1,1,1,1,0
CUST100055,42,female,self_employed,8.4,151400,702,2,42,2,0,1,44400.0,0.36,0.304,919000.0,277800.0,96100,60,home,1,1,1,1,1,1
CUST100056,47,male,business,0.5,38500,666,0,0,0,0,1,6000.0,0.116,0.287,232400.0,88600.0,120900,24,business,1,1,1,1,0,0
CUST100057,35,male,self_employed,6.6,57200,731,6,77,1,0,0,18000.0,0.04,0.432,89600.0,32000.0,241900,36,business,1,1,0,1,0,1
CUST100058,40,male,contract,2.1,45300,619,4,40,4,0,1,7300.0,0.171,0.304,96300.0,50400.0,311200,48,education,1,1,1,1,1,0
CUST100059,50,male,self_employed,12.9,21400,746,2,27,3,0,1,4800.0,0.61,0.328,117900.0,55100.0,79900,36,home,1,1,1,1,0,0
CUST100060,34,female,salaried,9.7,106000,676,5,44,6,0,1,31900.0,0.213,0.467,64200.0,33100.0,634300,36,personal,1,1,1,1,0,0
CUST100061,64,female,salaried,5.4,87200,694,1,16,1,0,1,16300.0,0.237,0.219,353600.0,241700.0,102200,36,personal,1,1,1,1,1,1
CUST100062,30,female,business,1.3,41900,590,5,66,4,0,1,16300.0,0.241,0.639,286100.0,131900.0,125800,12,home,1,1,1,1,1,0
CUST100063,63,male,business,10.0,31100,713,1,17,1,0,0,10200.0,0.382,0.509,181800.0,40700.0,202600,36,education,1,1,1,1,1,1
CUST100064,60,female,business,6.7,92200,656,1,13,0,0,1,9400.0,0.093,0.126,65200.0,28500.0,105500,48,vehicle,1,1,1,1,0,1
CUST100065,64,female,self_employed,13.1,93300,764,4,71,1,0,2,34200.0,0.444,0.514,354300.0,132000.0,660300,48,education,1,1,1,1,1,1
CUST100066,56,female,self_employed,11.9,113400,739,4,76,0,0,2,8500.0,0.322,0.114,663300.0,495500.0,107000,24,education,1,1,1,1,0,1
CUST100067,44,female,salaried,2.1,94100,701,2,41,1,0,3,8800.0,0.396,0.237,224300.0,157700.0,323900,24,business,1,1,1,1,0,1
CUST100068,48,female,salaried,19.1,94400,735,2,37,1,0,4,27600.0,0.348,0.743,444300.0,399700.0,510700,12,personal,1,1,1,1,0,1
CUST100069,30,female,salaried,6.6,60300,665,2,32,4,0,1,18900.0,0.251,0.395,51300.0,24600.0,235000,48,vehicle,1,1,1,1,0,0
CUST100070,36,male,salaried,8.6,70600,703,3,49,8,0,1,11200.0,0.087,0.26,307600.0,255300.0,86100,12,education,1,1,1,1,1,1
CUST100071,41,female,self_employed,3.7,95600,676,3,26,4,0,1,27800.0,0.124,0.351,221300.0,82700.0,208000,36,education,1,1,1,1,1,1
CUST100072,63,male,salaried,5.4,59600,733,5,67,3,0,4,10900.0,0.886,0.596,44600.0,15900.0,295800,12,personal,1,1,1,1,0,0
CUST100073,56,male,self_employed,6.6,30800,659,4,61,7,0,0,5900.0,0.309,0.243,113000.0,26400.0,113200,72,consumer,1,1,1,1,0,0
CUST100074,46,female,salaried,9.0,68500,657,5,63,7,0,1,10400.0,0.329,0.223,86900.0,47600.0,293800,60,medical,1,1,1,1,1,1
CUST100075,47,male,salaried,12.5,191300,693,1,10,2,0,1,43700.0,0.561,0.358,327700.0,284400.0,447800,18,education,1,1,1,1,1,1
CUST100076,40,male,salaried,6.4,42600,625,2,19,1,0,1,7600.0,0.052,0.214,103300.0,46700.0,109200,72,business,1,1,1,1,1,0
CUST100077,39,male,contract,7.6,60500,690,0,0,0,0,1,16800.0,0.654,0.419,47300.0,38100.0,205300,24,business,1,1,1,1,1,0
CUST100078,61,female,salaried,14.0,54500,730,1,13,0,0,1,9100.0,0.066,0.465,285600.0,247600.0,292800,18,business,1,1,1,1,0,1
CUST100079,21,male,salaried,7.6,60100,694,4,40,0,0,1,11400.0,0.258,0.238,91600.0,35600.0,104500,36,vehicle,1,1,0,1,0,1
CUST100080,35,male,salaried,9.8,42000,716,2,19,1,0,2,6200.0,0.149,0.342,220900.0,96500.0,293800,36,vehicle,1,1,1,1,0,1
CUST100081,39,male,self_employed,3.1,65400,673,5,75,10,1,1,7600.0,0.217,0.214,263600.0,114400.0,231400,36,consumer,1,1,1,1,1,0
CUST100082,52,female,self_employed,14.6,205300,749,5,47,3,0,0,33600.0,0.394,0.233,381800.0,213000.0,679100,48,vehicle,0,1,1,1,1,1
CUST100083,39,female,salaried,10.3,57300,672,3,30,0,0,1,15400.0,0.254,0.796,97500.0,28700.0,362400,12,vehicle,1,1,1,1,1,0
CUST100084,35,female,contract,4.4,71300,755,3,48,3,0,2,25600.0,0.141,0.424,156100.0,79700.0,222100,48,consumer,1,1,1,1,1,1
CUST100085,24,female,salaried,2.6,78300,720,3,45,3,0,2,15800.0,0.363,0.771,208100.0,114800.0,535100,12,education,1,1,1,1,0,1
CUST100086,32,female,self_employed,6.9,119800,675,6,92,10,0,0,8300.0,0.371,0.241,833900.0,297500.0,740100,36,education,1,1,1,1,0,0
CUST100087,25,female,self_employed,11.6,162900,704,1,22,1,0,2,42800.0,0.153,0.401,361500.0,150600.0,538800,24,consumer,1,1,1,1,0,1
CUST100088,52,male,contract,,129500,727,4,61,3,0,2,19700.0,0.146,0.365,702400.0,394800.0,662500,24,consumer,1,1,1,1,1,1
CUST100089,40,female,business,3.9,49900,720,2,17,3,0,3,6500.0,0.786,0.176,139400.0,43500.0,82000,36,vehicle,1,1,1,1,1,0
CUST100090,31,male,business,13.1,108200,707,3,46,2,0,0,13900.0,0.043,0.211,125300.0,80900.0,428400,48,education,0,1,1,1,0,1
CUST100091,45,male,salaried,1.5,115800,765,6,89,1,0,2,19700.0,0.3,0.293,495000.0,109700.0,170300,12,home_improvement,1,1,1,1,0,1
CUST100092,43,female,business,10.3,106400,643,2,22,2,0,1,17100.0,0.388,0.253,289600.0,198300.0,590200,60,vehicle,1,1,0,1,0,0
CUST100093,42,male,contract,15.9,80200,613,5,46,4,1,3,13400.0,0.323,0.288,531700.0,277000.0,175000,18,personal,1,1,1,1,1,0
CUST100094,47,male,contract,4.6,45800,671,6,105,3,0,0,4300.0,0.219,0.201,113600.0,62800.0,177200,36,personal,1,1,1,1,1,1
CUST100095,49,male,business,4.8,38600,666,3,55,5,0,3,8000.0,0.301,0.255,260800.0,75000.0,111400,60,home_improvement,1,1,1,0,0,0
CUST100096,29,female,salaried,2.8,46000,627,3,51,6,1,2,12300.0,0.494,0.473,233900.0,148300.0,170300,18,consumer,1,1,1,1,1,0
CUST100097,27,female,salaried,10.6,106800,761,4,81,3,0,0,32500.0,0.488,0.575,443900.0,156700.0,693000,24,home,1,0,1,1,0,1
CUST100098,53,female,salaried,13.9,134500,730,1,18,0,0,0,42300.0,0.554,0.364,334000.0,136100.0,317900,48,business,1,1,1,1,0,1
CUST100099,64,female,self_employed,8.9,52700,686,1,17,0,0,4,15500.0,0.63,0.454,264500.0,235100.0,303700,36,consumer,1,1,1,0,0,0
CUST100100,45,female,salaried,5.5,40200,729,2,30,0,0,1,10200.0,0.387,0.323,80800.0,60600.0,100900,36,education,1,1,1,1,1,1
CUST100101,41,male,salaried,8.8,39100,686,1,9,1,0,1,3400.0,0.169,0.32,218800.0,47000.0,218400,24,home,1,1,1,1,0,0
CUST100102,48,male,self_employed,2.1,27500,653,6,82,2,0,3,2800.0,0.46,0.136,170200.0,126600.0,56500,60,vehicle,1,1,1,1,0,0
CUST100103,22,female,business,7.7,32600,659,1,22,2,0,5,2000.0,0.493,0.361,132100.0,86100.0,175700,18,personal,1,1,1,1,1,0
CUST100104,37,female,salaried,1.3,45900,664,3,47,1,0,0,5200.0,0.287,0.231,273800.0,245100.0,259900,48,medical,1,1,1,1,0,0
CUST100105,37,female,salaried,3.3,94500,658,1,18,6,0,1,10200.0,0.488,0.195,361100.0,216700.0,393100,48,personal,1,1,1,1,0,0
CUST100106,39,male,salaried,3.6,89700,660,3,39,3,0,3,24000.0,0.793,0.378,461700.0,197400.0,236700,24,business,1,1,1,1,1,0
CUST100107,54,female,salaried,8.1,21900,696,2,43,1,0,0,5900.0,0.21,0.367,136500.0,78400.0,76600,36,home_improvement,1,1,1,1,0,0
CUST100108,43,female,salaried,2.9,45200,664,2,28,2,0,0,7600.0,0.257,0.418,139100.0,44600.0,270600,24,vehicle,1,1,1,1,1,1
CUST100109,59,male,salaried,9.2,25500,687,4,93,3,0,0,9200.0,0.032,0.403,46600.0,33700.0,39000,36,medical,1,1,1,1,1,0
CUST100110,42,male,salaried,12.2,60900,689,1,18,2,0,1,22800.0,0.156,0.523,151900.0,109700.0,326300,36,home,1,1,0,1,1,1
CUST100111,22,male,salaried,3.6,36700,651,2,40,0,0,0,12100.0,0.339,0.472,189600.0,53200.0,188400,36,home_improvement,1,1,1,1,0,0
CUST100112,51,female,business,7.8,63400,660,2,21,1,0,1,17200.0,0.49,0.363,80900.0,21500.0,210400,36,personal,1,1,1,1,0,1
CUST100113,56,male,business,10.1,43600,708,1,12,0,0,2,11000.0,0.417,0.327,118400.0,81000.0,118000,36,consumer,1,1,1,1,0,1
CUST100114,46,male,salaried,13.7,34600,711,6,124,2,0,1,12300.0,0.16,0.43,135000.0,92400.0,154600,60,vehicle,1,1,1,1,1,1
CUST100115,63,female,salaried,8.2,140500,720,1,19,0,0,6,19700.0,0.711,0.245,540500.0,185100.0,887000,60,business,1,1,1,1,1,1
CUST100116,39,female,contract,11.5,40700,739,1,15,0,0,1,13500.0,0.286,0.451,143300.0,64100.0,174900,36,personal,1,1,1,1,0,1
CUST100117,56,male,salaried,2.5,40900,573,3,48,6,0,2,7000.0,0.213,0.375,35600.0,11600.0,199900,24,consumer,1,1,1,1,1,0
CUST100118,21,male,salaried,7.5,22200,696,1,20,4,0,2,9900.0,0.168,0.945,64800.0,51700.0,133000,12,consumer,1,1,1,1,1,0
CUST100119,22,female,self_employed,11.4,100200,745,6,76,2,0,1,24200.0,0.542,0.38,619600.0,304500.0,668300,48,education,1,1,1,1,0,1
CUST100120,56,male,salaried,5.4,33200,663,3,61,5,0,0,13100.0,0.352,0.503,209700.0,117800.0,172900,48,home_improvement,1,1,1,1,1,0
CUST100121,60,female,salaried,15.8,33700,724,5,67,3,0,1,13000.0,0.109,0.412,59200.0,41900.0,52900,60,personal,1,1,1,0,0,1
CUST100122,44,male,self_employed,11.2,48700,760,4,43,1,0,1,9500.0,0.641,0.248,268900.0,85800.0,124500,48,personal,1,1,1,1,1,1
CUST100123,54,male,salaried,8.6,46100,714,1,16,1,0,1,8500.0,0.225,0.331,219900.0,59100.0,243200,36,home,1,1,1,1,1,1
CUST100124,35,male,salaried,14.0,32800,720,2,43,1,0,0,12800.0,0.119,0.456,125000.0,90500.0,104300,48,business,1,1,1,1,0,1
CUST100125,53,male,salaried,2.6,61600,699,4,66,2,0,1,18500.0,0.34,0.322,305000.0,233400.0,94500,72,consumer,1,1,1,1,1,1
CUST100126,43,female,salaried,12.3,116700,745,1,18,0,0,4,22000.0,0.482,0.245,768200.0,633500.0,237300,36,home,1,1,1,1,0,1
CUST100127,34,female,salaried,17.8,83900,725,3,56,1,0,0,3300.0,0.127,0.125,292100.0,193300.0,257400,36,vehicle,1,1,0,1,0,1
CUST100128,25,male,salaried,3.4,74900,711,1,16,1,0,2,8500.0,0.393,0.156,48600.0,15300.0,56800,18,home,1,1,1,1,0,0
CUST100129,28,male,salaried,3.7,37000,664,4,81,7,0,1,6900.0,0.412,0.357,267900.0,223200.0,227000,36,vehicle,1,1,1,1,1,0
CUST100130,61,female,salaried,5.4,81700,733,4,55,1,0,1,13500.0,0.112,0.439,164100.0,96900.0,268100,12,medical,1,1,1,1,0,1
CUST100131,40,female,salaried,9.4,201900,708,1,10,0,0,1,40500.0,0.224,0.595,1178500.0,1003100.0,955400,12,personal,1,1,1,1,0,1
CUST100132,65,male,salaried,18.1,46000,759,1,17,0,0,0,8300.0,0.494,0.374,336800.0,79900.0,213700,24,consumer,1,1,1,1,1,1
CUST100133,36,female,business,4.0,36100,648,3,52,2,0,0,17600.0,0.408,0.652,12800.0,11500.0,214100,36,vehicle,1,1,1,1,1,0
CUST100134,23,male,salaried,8.7,111600,699,1,22,0,0,1,6700.0,0.626,0.168,765700.0,232700.0,724900,60,home,1,1,1,1,1,1
CUST100135,32,male,business,8.1,69400,664,2,26,0,0,0,6500.0,0.626,0.16,56700.0,22200.0,277100,60,vehicle,1,1,1,1,0,0
CUST100136,37,male,salaried,12.5,54400,684,4,71,5,0,1,13400.0,0.217,0.345,348600.0,171300.0,192900,36,personal,1,1,1,1,1,1
CUST100137,52,female,salaried,10.3,55900,700,3,35,1,0,0,7500.0,0.535,0.317,317200.0,190700.0,368600,36,personal,1,1,1,1,0,1
CUST100138,53,female,contract,6.4,116500,699,2,43,5,0,2,35400.0,0.257,0.434,263000.0,93800.0,544800,36,personal,1,1,1,1,0,1
CUST100139,54,male,contract,1.5,45300,656,2,28,4,0,0,6700.0,0.495,0.221,344000.0,157100.0,198000,60,business,1,1,1,1,1,0
CUST100140,35,male,salaried,12.0,76200,716,0,0,0,0,2,20500.0,0.804,0.383,126700.0,96300.0,417400,48,home,1,1,1,1,1,1
CUST100141,38,male,business,9.6,93800,733,2,24,0,0,0,13900.0,0.451,0.177,225300.0,111900.0,129500,48,personal,1,1,1,1,1,1
CUST100142,46,male,salaried,5.4,109600,680,1,14,1,0,2,32300.0,0.73,0.611,396300.0,331600.0,832000,24,home,1,1,1,1,1,0
CUST100143,48,female,contract,6.8,186500,658,1,22,0,0,2,48600.0,0.332,0.433,1245400.0,751100.0,770700,24,consumer,1,1,1,1,1,1
CUST100144,39,male,business,12.1,38100,721,1,19,0,0,1,10600.0,0.648,0.342,203600.0,147100.0,174600,72,personal,1,1,1,1,0,1
CUST100145,29,male,salaried,11.9,67700,705,3,39,3,0,1,22100.0,0.159,0.42,375400.0,136900.0,381000,60,education,1,1,1,1,0,1
CUST100146,55,male,salaried,11.7,65000,724,4,46,2,0,1,18100.0,0.711,0.787,163600.0,139300.0,396500,12,education,1,1,1,1,0,1
CUST100147,44,female,self_employed,6.6,73700,672,2,24,0,0,0,22500.0,0.389,0.398,266400.0,81900.0,411600,60,vehicle,1,1,1,1,0,0
CUST100148,64,male,salaried,1.8,128100,752,3,37,2,0,0,48800.0,0.473,0.51,315500.0,180000.0,790500,48,personal,1,1,1,1,0,1
CUST100149,63,female,salaried,7.7,222900,758,3,48,0,0,1,32400.0,0.049,0.208,285800.0,71500.0,501400,36,personal,1,1,1,1,0,1
CUST100150,60,male,business,13.7,28400,731,4,58,2,0,5,9200.0,0.374,0.417,219700.0,141300.0,94900,36,consumer,1,1,1,1,0,0
CUST100151,64,male,self_employed,4.7,101000,659,4,85,7,0,3,5100.0,0.558,0.278,143100.0,91900.0,275700,12,personal,1,1,1,1,1,0
CUST100152,48,male,business,8.2,71200,705,6,137,7,0,1,23500.0,0.356,0.477,127300.0,108900.0,377500,36,consumer,0,1,1,1,0,0
CUST100153,34,male,self_employed,9.5,49500,744,5,107,3,0,0,15000.0,0.172,0.495,42800.0,20300.0,342700,36,consumer,1,1,1,1,1,1
CUST100154,28,male,contract,3.7,148100,804,4,52,0,0,2,32700.0,0.269,0.359,110000.0,75000.0,985400,48,vehicle,1,1,1,1,1,1
CUST100155,25,male,business,10.6,42900,688,6,85,5,0,3,18600.0,0.283,0.453,56600.0,49300.0,20000,24,personal,1,1,1,1,1,0
CUST100156,63,male,salaried,9.1,147200,701,2,26,0,0,0,34300.0,0.21,0.392,76000.0,40700.0,561700,24,personal,1,1,1,1,1,1
CUST100157,33,female,salaried,3.9,38400,725,3,51,3,0,0,3800.0,0.173,0.244,251200.0,201200.0,134000,24,home_improvement,1,1,1,1,1,1
CUST100158,22,female,contract,1.6,54200,630,3,44,1,0,1,1700.0,0.201,0.142,180000.0,43600.0,287300,48,personal,1,1,1,1,0,0
CUST100159,22,male,salaried,4.5,117200,691,3,54,3,0,0,37900.0,0.132,0.433,554100.0,434100.0,773400,60,personal,1,1,1,1,1,1
CUST100160,34,female,business,5.3,33800,735,3,36,0,0,1,9200.0,0.444,0.335,57300.0,35700.0,76500,36,personal,1,1,1,1,1,1
CUST100161,65,male,salaried,25.6,44900,739,2,23,1,0,1,15400.0,0.214,0.865,136300.0,85100.0,281200,12,business,1,1,1,1,1,1
CUST100162,33,female,salaried,6.7,70200,729,2,26,0,0,0,21200.0,0.463,0.513,112200.0,77700.0,356000,24,business,1,1,1,1,0,1
CUST100163,25,male,self_employed,2.4,65300,652,2,33,5,0,0,19700.0,0.028,0.391,187100.0,139600.0,105200,18,business,1,1,1,1,1,0
CUST100164,51,male,salaried,2.4,36800,719,1,12,1,0,3,7000.0,0.44,0.875,36700.0,30100.0,151200,6,vehicle,1,1,1,1,1,0
CUST100165,23,female,self_employed,8.9,45800,636,4,75,5,0,0,9500.0,0.292,0.599,74500.0,47500.0,215400,12,education,1,1,1,1,1,0
CUST100166,42,male,self_employed,10.2,67300,752,2,44,0,0,2,2300.0,0.296,0.161,243400.0,56200.0,410600,48,education,1,1,1,1,1,1
CUST100167,24,female,salaried,,104900,646,0,0,0,0,0,25500.0,0.302,0.327,495600.0,163800.0,210200,24,vehicle,1,1,0,1,1,0
CUST100168,25,female,salaried,7.0,29900,720,2,20,0,0,3,12100.0,0.35,0.557,188000.0,143400.0,163900,36,personal,1,1,1,1,1,0
CUST100169,37,female,self_employed,2.1,23800,641,4,71,5,1,1,1400.0,0.478,0.214,27000.0,9400.0,133000,36,education,1,1,1,1,1,0
CUST100170,21,female,salaried,9.8,94000,709,2,20,0,0,0,34900.0,0.093,0.476,182800.0,71900.0,237300,24,personal,1,1,1,1,1,1
CUST100171,59,female,salaried,1.0,49400,635,1,12,0,0,0,17000.0,0.175,0.428,95000.0,34900.0,148400,36,home,1,1,1,1,1,0
CUST100172,48,male,contract,10.7,50500,770,1,20,1,0,1,17600.0,0.276,0.57,92900.0,69600.0,268800,24,personal,1,1,1,1,1,1
CUST100173,63,female,salaried,2.1,56600,629,2,21,1,0,0,23000.0,0.318,0.492,261000.0,222800.0,232900,48,personal,1,1,1,1,1,0
CUST100174,43,female,self_employed,5.0,73900,588,4,84,12,0,1,11700.0,0.264,0.257,315300.0,165000.0,261900,36,consumer,1,1,1,1,1,0
CUST100175,46,male,self_employed,3.7,99500,737,3,31,2,0,0,10200.0,0.331,0.141,489700.0,234700.0,185000,48,business,1,1,1,1,0,1
CUST100176,48,male,contract,4.8,75400,648,4,45,3,0,1,27200.0,0.382,0.509,210300.0,91200.0,268800,24,home_improvement,1,1,1,1,1,0
CUST100177,41,male,salaried,3.4,59800,660,4,58,2,0,0,19000.0,0.229,0.641,75700.0,28000.0,116100,6,home_improvement,1,1,1,1,0,0
CUST100178,46,male,self_employed,11.0,109900,681,3,31,2,0,1,26600.0,0.384,0.283,146500.0,126300.0,160700,36,business,1,1,1,1,1,1
CUST100179,46,male,contract,12.9,91300,783,2,20,0,0,0,14700.0,0.71,0.251,539900.0,323900.0,294900,36,medical,1,1,0,1,0,1
